Cluster number,Nodes
0,Atp5o
0,Ndufb8
0,Ndufb10
0,Sdhb
0,Uqcr10
0,Yjefn3
0,mt-Nd1
0,Ndufaf2
0,Cyc1
0,Ndufaf3
0,Ndufs8
0,Atp5j2
0,mt-Nd5
0,Uqcrh
0,mt-Nd2
0,Ndufa2
0,Ndufb9
0,Atp5h
0,Ndufb3
0,Cox7a2
0,Ndufb11
0,Cox6b1
0,Ndufb6
0,Uqcrq
0,Ndufs6
0,Ndufc2
0,Atp5k
0,Ndufa9
0,Ndufa4
0,mt-Nd4
0,Ndufa11
0,Cox5b
0,Ndufb2
0,mt-Co1
0,Ndufa8
0,Ndufs4
0,Ndufc1
0,Mgll
0,Ndufs5
0,Ndufa1
0,Ndufv2
0,Cox4i1
0,mt-Cytb
0,Cox7c
0,Ndufv1
0,Ndufs1
0,Ndufa13
0,Uqcrc2
0,Atp5g3
0,Fh1
0,2310022B05Rik
0,Pmpcb
0,Ndufa7
0,Ndufb1-ps
0,Ndufa3
0,Ndufa5
0,Atp5l
0,Sdha
0,Atp5e
1,Cacng5
1,Grin2d
1,Gria2
1,Vwc2
1,Cacng3
1,Cnih3
1,Olfm3
1,Grin1
1,Gria4
1,Grin2c
1,Grid2
1,Cbln3
1,Cnih2
1,Gria3
1,Olfm1
1,Cpt1c
1,Olfm2
2,Iws1
2,Supt16
2,Polr2c
2,Leo1
2,Polr3b
2,Polr2i
2,Tcea2
2,Aagab
2,Polr3k
2,Ercc8
2,Supt4a
2,Ercc3
2,Polr2l
2,Polr1c
2,Supt6
3,Tln2
3,Itga2b
3,Itga8
3,Parva
3,Flnb
3,Flnc
3,Lamb3
3,Flna
3,Itga5
3,Pxn
3,Itgb8
4,Nelfcd
4,Wdr61
4,Tonsl
4,Ice1
4,Hexim2
4,Ccnt2
4,Ccnl1
4,Elp4
4,Nelfb
5,Mapk1
5,Mapk11
5,Mapk8
5,Actb
5,Sorbs2
5,Esr1
5,Mapk3
5,Pxdn
5,Fn1
5,Foxo6
5,Smad3
5,Vcl
6,Wdr59
6,Bmt2
6,Sesn2
6,Szt2
6,Rnf152
6,Itfg2
6,Rraga
6,Seh1l
7,Gnb4
7,Gnaq
7,Kcnj5
7,Rgs16
7,Rho
