Cluster number,Nodes
0,Ephx1
0,Gpx7
0,Adh5
0,Prdx6
0,Gsta3
0,Gsto2
0,Gsto1
0,Gm3776
0,Mgst1
0,Ggt5
0,Gstt1
0,Mgst3
0,Gstm2
0,Gpx1
0,Gstt3
0,Gsta2
0,Aldh3a1
1,Prg4
1,Icam1
1,Itga5
1,Itgb2
1,Pxdn
1,Srgn
1,Fyn
1,Spp1
1,Itgb1
1,Chil3
1,Cd3e
1,Cav1
1,Akt1
1,Fgf18
1,Cd34
1,Cd44
1,Vegfa
1,Sele
1,Ly6a
1,Col1a1
1,Fgr
1,Kit
1,Pgf
1,Laptm5
1,Gapdh
1,Fgf2
1,Fgf6
1,Selp
1,Lyn
1,Itgb3
1,Sdc4
1,Fn1
1,Itga6
1,Nrp1
1,Tgfb1
1,Ppia
1,Insr
1,Col4a2
1,Tspan32
1,Itgam
1,Itgb5
1,Lama5
1,Hspg2
1,Itga4
1,Col4a3
1,Itga2
1,Pik3cd
2,Actl6a
2,Ruvbl2
2,Psmg1
2,Ppp5c
2,Spag1
2,Zpbp
2,Ruvbl1
2,Cct5
2,Cct4
2,Rpap3
2,Sdf2l1
2,Bcl7b
2,Ep400
2,Bcl11b
2,Mcrs1
2,Brd8
2,Msl3
2,Epc2
2,Tfpt
2,Kansl3
2,Yeats4
2,Mbtd1
2,Msl1
2,Meaf6
2,Epc1
2,Anp32e
3,Cops2
3,Hsp90ab1
3,Myh9
3,Hspa5
3,Amot
3,Tmod1
3,Wdr6
3,Grb2
3,Hspa1l
3,Plcg1
3,Cops7a
4,Nup214
4,Nup93
4,Nup133
4,Nup43
4,Nup37
4,Ndc1
4,Nupl2
4,Nup50
4,Tpr
4,Nup85
4,Nup155
5,Pwwp3a
5,Atp5c1
5,Sdhb
5,Ndufs1
5,Atp5pb
5,Uqcrc2
5,Ndufs3
5,Cox4i2
5,Atp5a1
5,Sdha
5,Nmral1
5,Ndufv2
5,Gm5640
5,Ndufs2
6,Klhl2
6,Klhl41
6,Klhl7
6,Kctd17
6,Klhl40
6,Tnfaip1
6,Klhl24
6,Kctd10
6,Enc1
6,Depdc5
7,Cars2
7,Iars2
7,Tarsl2
7,Lars
7,Aimp1
7,Hars
7,Rars2
7,Vars2
7,Vars
7,Nars2
8,Gnl2
8,Ddx54
8,Pwp2
8,Ddx10
8,Cep152
8,Mrpl41
8,Wdr12
8,Rpl7l1
8,Nsun2
8,Trub1
8,Pes1
8,Gnl3l
8,Rpl3l
8,Pum3
9,Ccz1
9,Synrg
9,Snap91
9,Eps15l1
9,Epn1
9,Vti1b
9,Aak1
9,Cltb
9,Vps16
9,Eps15
9,Igf2r
9,Vps8
9,Ap1s1
9,Vps41
9,Kcnq5
10,Zswim7
10,Paxx
10,Ascc1
10,Nhej1
10,Msh2
10,Xrcc5
10,Rad23b
