Cluster number,Nodes
0,Rpl7
0,Eif3f
0,Dock4
0,Rpl6
0,Rpl19
0,Rps4x
0,Mrnip
0,Btf3
0,Rps10
0,Rpsa
0,Gm6133
0,Rpl13
0,Mrpl13
0,Rps6
0,Eif6
0,Hspbp1
0,Rpl14
0,Rplp0
0,Eif3k
0,Rpl4
0,Eef1d
0,Eef1g
0,Eftud2
0,Rpl7l1
1,Ugt2a3
1,Hsd11b1
1,Akr1d1
1,Cyp2c23
1,Cyp2e1
1,Ugt1a10
1,Comt
1,Blvrb
1,Hsd17b12
1,Ugt1a1
1,Cyp2s1
1,Srd5a1
1,Hsd17b2
1,Srd5a2
1,Srd5a3
1,Ces2h
1,Ces2g
1,Cbr1
1,Cyp2c68
1,Ces1e
1,Miox
1,Ugt2b37
1,Ugt1a2
1,Ugt2b38
1,Ugt2b34
1,Ugt2b35
1,Cbr3
1,Hsd3b2
1,Ugt1a9
1,Cyp2a5
2,Dhcr24
2,Idi1
2,Pgrmc1
2,Sc5d
2,Dhcr7
2,Insig1
2,Nsdhl
2,Fdps
2,Mvd
2,Fdft1
2,Hsd17b7
2,Hmgcs1
2,Msmo1
2,Cyp51
3,Kbtbd6
3,Kbtbd7
3,Klhl13
3,Klhl25
3,Pef1
3,Klhl9
3,Klhl42
3,Kctd17
3,Kctd11
3,Klhl24
3,Klhl20
3,Klhl3
3,Klhl12
4,Itga1
4,Itga4
4,Lama5
4,Lama3
4,Col6a2
4,Lamb3
4,Itgb7
4,Itga8
4,Lamc2
4,Itgb8
4,Lama1
4,Col6a1
4,Lamb1
5,Nop2
5,Noc2l
5,Pes1
5,Ftsj3
5,Utp4
5,Nsun7
5,Polr1a
5,Pdcd11
5,Nop58
5,Rsl1d1
5,Grwd1
6,Pik3r2
6,Gnai2
6,Fgf9
6,Gnai1
6,Irs1
6,Pik3cg
6,Kitl
6,Vegfa
6,Fgfr1
6,Fgfr3
6,Pik3ca
6,Mtor
6,Src
6,Plek2
6,Pik3r1
6,Mapk3
6,Fgfr4
7,Fbp2
7,Gpi1
7,Pfkp
7,Eno1
7,Rpia
7,Hk1
7,Hkdc1
7,Aldoa
7,G6pdx
7,Pkm
7,G6pc2
7,Pfkfb3
7,Tpi1
8,Ifih1
8,Irf7
8,Ifi27l2a
8,Ifit1
8,Rtp4
8,Ifit3
8,Gbp2b
8,Oas2
8,Oas1a
8,Oas1g
9,Bmpr2
9,Bmp7
9,Gdf11
9,Acvrl1
9,Tgfbr1
9,Acvr2a
9,Acvr1
9,Bmp5
9,Smad3
9,Acvr2b
10,Tnfrsf18
10,Xiap
10,Map3k7
10,Rel
10,Ikbkb
10,Fadd
10,Tnf
10,Cyld
10,Tnfsf10
10,Tnfrsf1a
11,Ercc1
11,Xrcc6
11,Zswim7
11,Nhej1
11,Xpc
11,Nsd2
11,Atm
11,Rad9a
11,Ascc1
11,Hus1
12,Wbp11
12,Tcerg1
12,Snw1
12,Sf3a3
12,Cwc15
12,Taf2
12,Sf3b3
12,Srrm2
12,Ctnnbl1
12,Taf9b
12,Ncbp1
12,Pole4
12,Kat2b
13,Lipc
13,Apod
13,Apom
13,Apoc1
13,Saa1
13,Apol7c
13,Apol7e
13,Apoc3
13,Hp
14,Qk
14,Med13l
14,Med16
14,Med14
14,Med13
15,Tjp3
15,Sympk
15,Cldn4
15,Rapgef6
15,Cgn
15,Tjp2
15,Cldn7
15,F11r
16,Prim1
16,Rrm2b
16,Helb
16,Rrm1
16,Rnaseh2a
16,Prim2
